仓库A,仓库B,距离(km)
国网湖南物资公司邵阳周转库,邵阳新邵仓库,13.2
国网湖南物资公司邵阳周转库,邵阳邵东仓库,42.9
国网湖南物资公司邵阳周转库,邵阳县仓库,40.5
国网湖南物资公司邵阳周转库,娄底冷水江仓库,67.3
国网湖南物资公司邵阳周转库,娄底涟源仓库,69.5
国网湖南物资公司邵阳周转库,邵阳隆回仓库,53.7
国网湖南物资公司邵阳周转库,娄底新化仓库,85.5
国网湖南物资公司邵阳周转库,娄底双峰仓库,101.6
国网湖南物资公司邵阳周转库,国网湖南物资公司娄底周转库,103.8
国网湖南物资公司邵阳周转库,衡阳县仓库,119.5
国网湖南物资公司邵阳周转库,衡阳祁东仓库,146
国网湖南物资公司邵阳周转库,国网湖南物资公司常德周转库,248.7
国网湖南物资公司邵阳周转库,常德鼎城仓库,241.9
国网湖南物资公司邵阳周转库,常德汉寿仓库,254.7
国网湖南物资公司邵阳周转库,常德桃源仓库,240.9
国网湖南物资公司邵阳周转库,常德临澧仓库,304.6
国网湖南物资公司邵阳周转库,益阳桃江仓库,223.6
国网湖南物资公司邵阳周转库,常德安乡仓库,312.3
国网湖南物资公司邵阳周转库,常德津市仓库,312.5
国网湖南物资公司邵阳周转库,张家界慈利仓库,318.2
国网湖南物资公司邵阳周转库,益阳沅江仓库,269.4
国网湖南物资公司邵阳周转库,常德澧县仓库,318.6
国网湖南物资公司邵阳周转库,国网湖南物资公司常德石门仓库,326.6
国网湖南物资公司邵阳周转库,益阳南县仓库,325.8
国网湖南物资公司邵阳周转库,益阳安化仓库,183.8
国网湖南物资公司邵阳周转库,永州冷水滩仓库,107.2
国网湖南物资公司邵阳周转库,国网湖南物资公司永州周转库,124.3
国网湖南物资公司邵阳周转库,永州零陵仓库,147.2
国网湖南物资公司邵阳周转库,永州东安仓库,129.2
国网湖南物资公司邵阳周转库,永州祁阳仓库,130.3
国网湖南物资公司邵阳周转库,永州双牌仓库,173
国网湖南物资公司邵阳周转库,永州新田仓库,218
国网湖南物资公司邵阳周转库,永州道县仓库,229
国网湖南物资公司邵阳周转库,邵阳新宁仓库,125.2
国网湖南物资公司邵阳周转库,永州宁远仓库,227.3
国网湖南物资公司邵阳周转库,永州蓝山仓库,255.5
国网湖南物资公司邵阳周转库,郴州嘉禾仓库,264.2
国网湖南物资公司邵阳周转库,永州江华仓库,326.8
国网湖南物资公司邵阳周转库,永州江永仓库,328.9
国网湖南物资公司邵阳周转库,国网湖南物资公司长沙周转库,236.9
国网湖南物资公司邵阳周转库,长沙县仓库,243.9
国网湖南物资公司邵阳周转库,长沙望城仓库,238
国网湖南物资公司邵阳周转库,长沙宁乡仓库,208.8
国网湖南物资公司邵阳周转库,国网湖南物资公司株洲周转库,228
国网湖南物资公司邵阳周转库,国网湖南物资公司湘潭周转库,207.4
国网湖南物资公司邵阳周转库,湘潭韶山仓库,162.7
国网湖南物资公司邵阳周转库,湘潭县仓库,198.1
国网湖南物资公司邵阳周转库,国网湖南物资公司益阳周转库,223.5
国网湖南物资公司邵阳周转库,湘潭湘乡仓库,148.5
国网湖南物资公司邵阳周转库,长沙浏阳仓库,297.4
国网湖南物资公司邵阳周转库,株洲醴陵仓库,248.7
国网湖南物资公司邵阳周转库,衡阳衡山仓库,191
国网湖南物资公司邵阳周转库,国网湖南物资公司湘西周转库,313.7
国网湖南物资公司邵阳周转库,湘西凤凰仓库,281
国网湖南物资公司邵阳周转库,湘西古丈仓库,361.1
国网湖南物资公司邵阳周转库,怀化麻阳仓库,254.9
国网湖南物资公司邵阳周转库,湘西泸溪仓库,266
国网湖南物资公司邵阳周转库,湘西保靖仓库,398.1
国网湖南物资公司邵阳周转库,怀化沅陵仓库,264.5
国网湖南物资公司邵阳周转库,怀化辰溪仓库,237.5
国网湖南物资公司邵阳周转库,湘西永顺仓库,426.6
国网湖南物资公司邵阳周转库,张家界周转库,396.7
国网湖南物资公司邵阳周转库,怀化溆浦仓库,183.1
国网湖南物资公司邵阳周转库,湘西龙山仓库,487.1
国网湖南物资公司邵阳周转库,张家界桑植仓库,450.7
国网湖南物资公司邵阳周转库,国网湖南物资公司郴州周转库,314.3
国网湖南物资公司邵阳周转库,郴州苏仙仓库,310.3
国网湖南物资公司邵阳周转库,郴州北湖仓库,314.7
国网湖南物资公司邵阳周转库,郴州桂阳仓库,283.3
国网湖南物资公司邵阳周转库,郴州资兴仓库,305.1
国网湖南物资公司邵阳周转库,衡阳耒阳仓库,226.2
国网湖南物资公司邵阳周转库,郴州安仁仓库,264.4
国网湖南物资公司邵阳周转库,株洲茶陵仓库,267.5
国网湖南物资公司邵阳周转库,株洲炎陵仓库,310.1
国网湖南物资公司邵阳周转库,衡阳常宁仓库,183.3
国网湖南物资公司邵阳周转库,郴州桂东仓库,378.9
国网湖南物资公司邵阳周转库,国网湖南物资公司衡阳周转库,142
国网湖南物资公司邵阳周转库,株洲攸县仓库,243.4
国网湖南物资公司邵阳周转库,衡阳衡东仓库,179.7
国网湖南物资公司邵阳周转库,国网湖南物资公司怀化周转库,214.1
国网湖南物资公司邵阳周转库,国网怀化中方芙蓉路仓库,218.2
国网湖南物资公司邵阳周转库,怀化芷江仓库,215.3
国网湖南物资公司邵阳周转库,怀化洪江市仓库,211.5
国网湖南物资公司邵阳周转库,怀化洪江区仓库,214.9
国网湖南物资公司邵阳周转库,邵阳洞口仓库,103.8
国网湖南物资公司邵阳周转库,怀化会同仓库,255.2
国网湖南物资公司邵阳周转库,怀化新晃仓库,271
国网湖南物资公司邵阳周转库,怀化靖州仓库,254.2
国网湖南物资公司邵阳周转库,邵阳武冈仓库,128
国网湖南物资公司邵阳周转库,邵阳绥宁仓库,192.8
国网湖南物资公司邵阳周转库,怀化通道仓库,254.8
国网湖南物资公司邵阳周转库,邵阳城步仓库,180.8
国网湖南物资公司邵阳周转库,国网湖南物资公司岳阳周转库,359.2
国网湖南物资公司邵阳周转库,岳阳云溪仓库,357.1
国网湖南物资公司邵阳周转库,岳阳君山仓库,386.2
国网湖南物资公司邵阳周转库,岳阳临湘仓库,380
国网湖南物资公司邵阳周转库,岳阳县仓库,332.9
国网湖南物资公司邵阳周转库,岳阳华容仓库,355.2
国网湖南物资公司邵阳周转库,岳阳汨罗仓库,296
国网湖南物资公司邵阳周转库,岳阳湘阴仓库,272.9
国网湖南物资公司邵阳周转库,岳阳平江仓库,336.8
邵阳新邵仓库,邵阳邵东仓库,38.9
邵阳新邵仓库,邵阳县仓库,56.3
邵阳新邵仓库,娄底冷水江仓库,62.8
邵阳新邵仓库,娄底涟源仓库,64
邵阳新邵仓库,邵阳隆回仓库,62
邵阳新邵仓库,娄底新化仓库,81
邵阳新邵仓库,娄底双峰仓库,97.6
邵阳新邵仓库,国网湖南物资公司娄底周转库,91.8
邵阳新邵仓库,衡阳县仓库,115.2
